whole,shuck,vis,shell,diameter,length
1.569,0.687,0.3675,0.46,0.55,0.69
1.773,0.6805,0.48,0.512,0.535,0.7
1.58,0.6435,0.4565,0.265,0.545,0.705
1.9805,0.9925,0.4925,0.48,0.57,0.71
1.5805,0.802,0.287,0.435,0.54,0.71
1.445,0.631,0.3215,0.435,0.525,0.72
2.1425,1.03,0.487,0.503,0.565,0.725
1.9425,0.799,0.5195,0.5655,0.56,0.73
2.119,0.9655,0.5185,0.482,0.565,0.74
1.938,0.7735,0.4825,0.575,0.565,0.75
0.597,0.272,0.131,0.1675,0.27,0.375
0.8795,0.3485,0.215,0.2825,0.355,0.49
0.771,0.3765,0.1815,0.1795,0.425,0.535
1.358,0.567,0.318,0.403,0.415,0.545
1.1185,0.5425,0.2445,0.2845,0.385,0.545
1.205,0.543,0.294,0.3345,0.38,0.55
1.48,0.6535,0.324,0.4155,0.43,0.58
1.1135,0.5195,0.2575,0.3005,0.475,0.61
1.1155,0.5045,0.238,0.315,0.455,0.615
1.1845,0.533,0.307,0.291,0.475,0.635
1.0725,0.4895,0.2295,0.31,0.475,0.64
1.5475,0.713,0.314,0.466,0.52,0.655
1.3405,0.5595,0.293,0.4375,0.515,0.665
1.4465,0.6775,0.33,0.389,0.53,0.675
1.5845,0.7175,0.3775,0.4215,0.535,0.685
1.679,0.805,0.4015,0.3965,0.55,0.695
1.5395,0.6075,0.3675,0.4645,0.545,0.705
2.073,1.0715,0.4265,0.5015,0.55,0.72
0.7005,0.347,0.1105,0.195,0.4,0.51
0.9455,0.3675,0.2005,0.295,0.425,0.54
0.8305,0.3135,0.1785,0.23,0.445,0.565
0.803,0.382,0.1525,0.234,0.44,0.57
1.099,0.4735,0.202,0.35,0.465,0.575
0.7955,0.3485,0.1925,0.22,0.43,0.575
0.8265,0.4035,0.173,0.225,0.45,0.58
0.925,0.37,0.185,0.3005,0.5,0.58
0.97,0.4655,0.1955,0.264,0.47,0.6
1.133,0.466,0.2885,0.298,0.465,0.6
0.862,0.334,0.1985,0.3,0.455,0.605
1.1185,0.478,0.2945,0.2985,0.46,0.61
0.957,0.4255,0.1975,0.265,0.46,0.61
1.1785,0.566,0.2785,0.294,0.47,0.61
1.255,0.5815,0.3195,0.3225,0.495,0.615
1.062,0.372,0.213,0.34,0.495,0.62
1.09,0.46,0.2965,0.304,0.445,0.625
1.354,0.4845,0.351,0.375,0.52,0.625
0.984,0.475,0.2,0.265,0.47,0.625
1.2695,0.5635,0.3065,0.3395,0.485,0.635
1.3405,0.5065,0.296,0.412,0.52,0.635
1.2895,0.594,0.314,0.345,0.505,0.635
1.1145,0.508,0.24,0.34,0.48,0.64
1.3115,0.4945,0.2555,0.41,0.515,0.64
1.4195,0.6735,0.3465,0.3255,0.485,0.64
1.6195,0.7815,0.322,0.4675,0.51,0.645
1.5535,0.616,0.3655,0.474,0.52,0.645
1.189,0.483,0.278,0.3645,0.51,0.65
1.375,0.531,0.384,0.3985,0.51,0.65
1.412,0.6195,0.2485,0.497,0.515,0.655
1.348,0.5855,0.2605,0.394,0.525,0.655
1.4415,0.5925,0.2775,0.49,0.535,0.66
1.2475,0.4625,0.2955,0.3595,0.5,0.665
1.4015,0.643,0.2465,0.416,0.53,0.67
1.473,0.6295,0.3025,0.4245,0.51,0.675
1.773,0.605,0.447,0.538,0.575,0.7
1.866,0.929,0.3835,0.4395,0.535,0.705
1.6705,0.732,0.3605,0.501,0.575,0.72
1.6195,0.744,0.315,0.488,0.57,0.725
1.8325,0.83,0.366,0.44,0.55,0.75
0.741,0.325,0.1855,0.196,0.43,0.53
0.6355,0.2635,0.1565,0.185,0.405,0.53
0.9205,0.381,0.2435,0.2675,0.47,0.55
0.8215,0.342,0.184,0.253,0.41,0.56
0.8295,0.3875,0.156,0.245,0.435,0.57
0.837,0.37,0.177,0.2425,0.45,0.6
1.3485,0.5255,0.252,0.3925,0.515,0.625
0.368,0.173,0.0705,0.105,0.305,0.4
0.594,0.332,0.116,0.1335,0.355,0.455
0.689,0.3165,0.1315,0.1955,0.38,0.475
0.6355,0.277,0.143,0.1785,0.38,0.5
0.699,0.3125,0.1565,0.2035,0.42,0.535
0.7655,0.3265,0.116,0.2365,0.385,0.54
0.7505,0.368,0.1675,0.1845,0.42,0.54
0.844,0.3945,0.1855,0.231,0.43,0.545
0.83,0.393,0.1735,0.238,0.44,0.565
0.839,0.3485,0.207,0.192,0.435,0.58
1.079,0.4145,0.2115,0.356,0.485,0.585
1.1345,0.492,0.2595,0.3375,0.47,0.6
0.909,0.438,0.2,0.22,0.43,0.61
1.056,0.493,0.244,0.2725,0.49,0.62
1.644,0.818,0.3395,0.4275,0.525,0.665
1.2525,0.73,0.3975,0.462,0.54,0.69
1.761,0.747,0.3725,0.488,0.57,0.705
1.3165,0.6835,0.2815,0.28,0.5,0.71
2.1,0.8565,0.4825,0.602,0.575,0.72
1.6895,0.6555,0.1965,0.4935,0.555,0.73
0.66,0.3045,0.1555,0.175,0.39,0.505
0.616,0.243,0.1075,0.21,0.385,0.505
0.3465,0.1475,0.0695,0.115,0.31,0.4
0.5395,0.2175,0.128,0.165,0.385,0.49
1.6885,0.562,0.3705,0.6,0.55,0.675
0.282,0.1405,0.0725,0.08,0.29,0.375
0.608,0.2705,0.1405,0.185,0.38,0.48
0.4585,0.192,0.1,0.13,0.35,0.435
0.275,0.113,0.0675,0.035,0.21,0.29
0.5765,0.2395,0.126,0.185,0.4,0.5
0.6985,0.2945,0.1625,0.215,0.41,0.52
0.4005,0.143,0.113,0.12,0.33,0.44
0.932,0.361,0.213,0.335,0.425,0.56
0.966,0.391,0.2455,0.31,0.455,0.59
0.9995,0.405,0.277,0.295,0.465,0.57
0.5065,0.222,0.105,0.16,0.36,0.45
0.3455,0.1405,0.0765,0.11,0.325,0.415
1.966,0.8435,0.437,0.5855,0.585,0.745
0.3025,0.1335,0.0465,0.0935,0.3,0.4
1.3905,0.61,0.3315,0.41,0.51,0.64
2.1995,0.7245,0.465,0.885,0.565,0.715
1.817,0.785,0.492,0.49,0.565,0.71
0.897,0.377,0.184,0.29,0.47,0.55
1.136,0.414,0.311,0.3,0.45,0.61
0.2405,0.104,0.0535,0.07,0.275,0.37
1.1845,0.4805,0.274,0.355,0.5,0.645
1.098,0.414,0.187,0.405,0.45,0.57
1.071,0.3,0.206,0.395,0.45,0.58
0.975,0.358,0.2035,0.34,0.48,0.595
1.283,0.462,0.2475,0.445,0.47,0.595
1.0595,0.358,0.165,0.445,0.42,0.625
0.6865,0.295,0.1715,0.185,0.4,0.52
0.585,0.243,0.115,0.195,0.37,0.49
1.0405,0.419,0.264,0.3,0.485,0.575
1.596,0.525,0.4075,0.585,0.55,0.68
1.4005,0.5195,0.36,0.44,0.515,0.65
1.406,0.4265,0.2285,0.51,0.49,0.645
0.14,0.0515,0.0235,0.04,0.225,0.29
1.5765,0.5115,0.2595,0.665,0.525,0.625
1.2125,0.3245,0.205,0.525,0.465,0.55
1.366,0.5065,0.219,0.52,0.495,0.595
0.445,0.165,0.0995,0.155,0.325,0.43
0.5725,0.1965,0.1325,0.175,0.35,0.455
0.764,0.276,0.196,0.25,0.415,0.515
0.5885,0.2385,0.1155,0.19,0.375,0.485
0.7875,0.3395,0.2005,0.2,0.46,0.535
1.352,0.4505,0.2445,0.53,0.525,0.625
0.958,0.296,0.195,0.39,0.455,0.555
0.797,0.297,0.15,0.265,0.425,0.55
0.692,0.267,0.15,0.215,0.39,0.505
0.729,0.2675,0.155,0.25,0.4,0.505
0.903,0.3575,0.2045,0.295,0.445,0.56
0.903,0.3305,0.1845,0.295,0.45,0.57
1.106,0.422,0.2435,0.33,0.435,0.56
0.4755,0.2105,0.105,0.16,0.36,0.46
0.3785,0.152,0.0915,0.125,0.32,0.435
0.486,0.1735,0.07,0.185,0.38,0.475
0.3105,0.12,0.074,0.105,0.325,0.38
0.543,0.2295,0.1495,0.15,0.365,0.47
0.998,0.345,0.2495,0.315,0.455,0.585
1.1,0.4125,0.2205,0.38,0.46,0.57
1.4285,0.639,0.305,0.36,0.5,0.645
1.1005,0.506,0.2525,0.295,0.465,0.59
0.9215,0.312,0.196,0.3,0.455,0.58
1.456,0.581,0.2875,0.32,0.51,0.62
2.226,0.8955,0.405,0.62,0.575,0.72
1.2125,0.5735,0.261,0.36,0.51,0.635
1.0675,0.391,0.216,0.42,0.48,0.61
0.8525,0.3465,0.189,0.295,0.445,0.545
1.162,0.511,0.2675,0.32,0.475,0.6
0.8705,0.3735,0.219,0.25,0.41,0.52
1.406,0.519,0.348,0.37,0.52,0.67
1.0935,0.403,0.245,0.355,0.48,0.62
1.1805,0.4345,0.2475,0.425,0.475,0.6
0.6905,0.3125,0.179,0.175,0.385,0.495
0.7145,0.3235,0.173,0.195,0.395,0.5
0.3315,0.1365,0.0745,0.1,0.305,0.385
0.974,0.4305,0.23,0.285,0.475,0.58
0.3215,0.1545,0.075,0.095,0.3,0.38
0.8045,0.3325,0.1725,0.285,0.415,0.52
0.8075,0.322,0.181,0.25,0.45,0.535
0.6375,0.277,0.1445,0.21,0.405,0.48
0.813,0.385,0.2015,0.23,0.425,0.52
0.94,0.399,0.257,0.265,0.455,0.58
0.775,0.302,0.179,0.26,0.415,0.55
1.1445,0.485,0.218,0.365,0.5,0.65
0.6,0.2225,0.129,0.23,0.375,0.465
0.384,0.143,0.1005,0.125,0.35,0.435
0.925,0.391,0.165,0.275,0.475,0.58
0.6185,0.251,0.1175,0.2,0.385,0.505
0.6515,0.2695,0.153,0.205,0.395,0.505
1.496,0.5775,0.2815,0.475,0.535,0.665
0.3605,0.12,0.082,0.1,0.305,0.415
0.7995,0.3345,0.209,0.24,0.425,0.525
0.6295,0.2815,0.127,0.215,0.42,0.515
2.526,0.933,0.59,0.62,0.63,0.8
0.957,0.3885,0.215,0.275,0.48,0.565
0.9,0.355,0.1905,0.25,0.47,0.59
1.7265,0.638,0.3365,0.565,0.565,0.71
0.8025,0.313,0.1715,0.263,0.43,0.56
0.4715,0.2035,0.0935,0.149,0.36,0.45
0.631,0.2765,0.111,0.216,0.435,0.515
1.7265,0.637,0.3415,0.525,0.56,0.72
1.3445,0.535,0.2205,0.515,0.485,0.61
1.449,0.601,0.2565,0.505,0.525,0.645
0.7745,0.2985,0.1875,0.265,0.44,0.545
1.3665,0.5005,0.291,0.41,0.525,0.66
1.031,0.392,0.2035,0.29,0.47,0.6
1.065,0.4595,0.216,0.315,0.505,0.63
1.969,0.8045,0.423,0.66,0.595,0.72
0.3575,0.145,0.0725,0.11,0.325,0.405
0.5965,0.253,0.126,0.185,0.405,0.5
0.382,0.154,0.0955,0.109,0.34,0.43
0.2165,0.096,0.037,0.0735,0.265,0.36
0.6005,0.2265,0.131,0.21,0.39,0.525
0.4285,0.165,0.083,0.132,0.345,0.44
0.496,0.1905,0.117,0.14,0.345,0.45
0.6195,0.2595,0.1445,0.177,0.365,0.485
0.4485,0.1585,0.102,0.1335,0.35,0.455
0.775,0.35,0.152,0.235,0.43,0.53
0.6985,0.3,0.146,0.195,0.415,0.585
1.017,0.3515,0.2,0.32,0.46,0.58
1.0705,0.371,0.2705,0.36,0.5,0.64
0.5895,0.2635,0.12,0.167,0.375,0.505
0.651,0.2935,0.19,0.17,0.38,0.505
0.494,0.1945,0.103,0.155,0.35,0.465
0.4765,0.192,0.1125,0.16,0.36,0.465
0.4805,0.1905,0.114,0.1475,0.365,0.475
0.321,0.1255,0.0655,0.095,0.315,0.41
0.6695,0.289,0.151,0.18,0.385,0.53
1.312,0.529,0.2485,0.485,0.5,0.635
1.087,0.4255,0.232,0.38,0.485,0.61
1.523,0.54,0.3365,0.555,0.515,0.66
0.579,0.208,0.1095,0.22,0.38,0.465
0.796,0.258,0.1755,0.28,0.4,0.515
0.197,0.071,0.051,0.06,0.255,0.345
0.4565,0.1785,0.114,0.14,0.335,0.445
0.884,0.2875,0.1645,0.28,0.435,0.55
0.1855,0.0745,0.0415,0.06,0.265,0.35
0.27,0.1125,0.0585,0.0835,0.285,0.37
0.463,0.186,0.11,0.145,0.33,0.42
1.099,0.3975,0.2325,0.358,0.47,0.585
0.768,0.2625,0.095,0.27,0.385,0.5
0.6915,0.276,0.137,0.215,0.405,0.52
0.227,0.093,0.0625,0.07,0.275,0.37
1.2985,0.5135,0.343,0.32,0.47,0.615
1.161,0.38,0.2455,0.28,0.455,0.59
0.441,0.1525,0.1165,0.135,0.355,0.47
0.742,0.2025,0.2005,0.2115,0.44,0.5
0.7,0.207,0.1905,0.24,0.425,0.52
0.8975,0.275,0.241,0.275,0.415,0.54
0.6635,0.21,0.1295,0.2515,0.4,0.49
1.235,0.5115,0.349,0.3065,0.51,0.63
0.7565,0.1905,0.17,0.3205,0.395,0.515
0.57,0.167,0.118,0.187,0.38,0.475
0.6245,0.215,0.2065,0.17,0.4,0.52
0.6905,0.219,0.155,0.2,0.39,0.48
0.2,0.0625,0.05,0.07,0.26,0.33
0.6265,0.259,0.1445,0.175,0.35,0.465
0.6015,0.2765,0.1455,0.135,0.375,0.47
0.983,0.4475,0.2355,0.2485,0.44,0.565
1.4405,0.5885,0.191,0.3175,0.475,0.6
1.332,0.6235,0.2835,0.35,0.5,0.6
1.1405,0.587,0.2175,0.288,0.485,0.6
1.33,0.6675,0.259,0.33,0.49,0.625
1.4995,0.593,0.314,0.431,0.5,0.64
1.6225,0.6555,0.299,0.513,0.545,0.655
1.925,0.713,0.358,0.4535,0.555,0.675
1.689,0.694,0.371,0.474,0.55,0.675
1.659,0.8715,0.2655,0.4395,0.55,0.69
2.0475,0.75,0.4195,0.6095,0.53,0.695
1.6015,0.707,0.365,0.43,0.525,0.7
2.0165,1.0685,0.418,0.435,0.57,0.73
0.4555,0.1945,0.1045,0.1375,0.35,0.455
0.46,0.2025,0.1115,0.1165,0.35,0.46
0.828,0.41,0.208,0.1505,0.42,0.53
0.889,0.4055,0.2275,0.215,0.405,0.53
0.964,0.5475,0.159,0.215,0.425,0.55
0.963,0.44,0.224,0.24,0.425,0.555
0.995,0.504,0.185,0.2505,0.445,0.57
0.8585,0.3905,0.196,0.2295,0.435,0.57
0.888,0.41,0.1815,0.2425,0.445,0.58
0.9045,0.405,0.2215,0.2335,0.45,0.585
1.1775,0.542,0.269,0.31,0.47,0.595
1.0765,0.491,0.22,0.287,0.465,0.595
1.0255,0.412,0.2745,0.289,0.465,0.595
0.9325,0.3985,0.2245,0.248,0.46,0.6
1.235,0.6025,0.274,0.29,0.46,0.6
1.1575,0.5005,0.2495,0.315,0.485,0.615
1.327,0.6,0.3015,0.355,0.5,0.615
1.2705,0.5415,0.323,0.3225,0.51,0.62
1.2155,0.545,0.253,0.345,0.485,0.62
1.3245,0.6865,0.233,0.3275,0.475,0.62
1.127,0.477,0.2365,0.3185,0.49,0.625
1.1075,0.4485,0.2165,0.3595,0.49,0.625
1.4255,0.659,0.336,0.38,0.495,0.63
1.147,0.5455,0.266,0.2885,0.495,0.63
1.596,0.617,0.317,0.37,0.495,0.635
1.297,0.556,0.2985,0.37,0.495,0.635
1.4415,0.741,0.2955,0.341,0.5,0.65
1.933,0.7855,0.429,0.498,0.545,0.69
1.8495,0.767,0.442,0.4175,0.55,0.695
1.7975,0.7295,0.3935,0.5165,0.575,0.7
2.381,0.9915,0.5005,0.624,0.56,0.705
0.832,0.4355,0.17,0.201,0.43,0.545
0.778,0.368,0.215,0.18,0.4,0.545
0.8435,0.434,0.1995,0.185,0.44,0.55
0.908,0.4015,0.217,0.255,0.45,0.57
0.811,0.3875,0.159,0.2285,0.43,0.57
0.897,0.4235,0.1905,0.248,0.48,0.575
0.938,0.467,0.203,0.225,0.45,0.585
0.6955,0.3085,0.129,0.2245,0.435,0.585
1.0115,0.445,0.2615,0.2565,0.46,0.59
1.1005,0.5415,0.166,0.265,0.465,0.595
1.079,0.4505,0.2835,0.293,0.48,0.605
1.055,0.543,0.246,0.2345,0.475,0.615
1.084,0.5885,0.209,0.246,0.47,0.615
1.115,0.484,0.277,0.3095,0.49,0.625
1.285,0.5775,0.352,0.317,0.52,0.645
1.2895,0.6095,0.2765,0.344,0.535,0.65
1.122,0.545,0.228,0.3055,0.49,0.65
1.349,0.5985,0.3175,0.36,0.505,0.665
1.551,0.7105,0.3685,0.412,0.55,0.675
1.7315,0.83,0.398,0.405,0.53,0.725
2.012,0.8915,0.5265,0.471,0.575,0.74
0.516,0.2015,0.132,0.162,0.395,0.515
0.7055,0.329,0.147,0.199,0.415,0.525
0.9475,0.366,0.239,0.275,0.44,0.545
1.1465,0.551,0.244,0.2785,0.445,0.555
1.017,0.5265,0.2025,0.265,0.445,0.57
0.8975,0.4115,0.2325,0.23,0.435,0.575
0.9865,0.47,0.2155,0.25,0.465,0.58
0.844,0.3645,0.185,0.2705,0.425,0.58
0.8755,0.411,0.2065,0.225,0.455,0.585
0.8725,0.389,0.1715,0.272,0.45,0.61
1.0265,0.4935,0.201,0.2745,0.46,0.615
1.1605,0.6005,0.2195,0.307,0.465,0.62
1.0125,0.5325,0.4365,0.324,0.48,0.62
1.0005,0.452,0.252,0.265,0.475,0.63
1.2265,0.49,0.377,0.2875,0.495,0.64
1.4045,0.6255,0.3375,0.3745,0.505,0.66
1.463,0.6525,0.2995,0.422,0.525,0.66
1.711,0.8365,0.352,0.475,0.525,0.675
1.757,0.8265,0.417,0.461,0.54,0.705
0.8435,0.4325,0.18,0.1815,0.43,0.525
0.8035,0.38,0.1805,0.21,0.42,0.54
0.8115,0.3875,0.1875,0.2035,0.415,0.54
0.782,0.3695,0.1745,0.1965,0.425,0.57
0.95,0.484,0.182,0.2325,0.445,0.58
0.976,0.465,0.2055,0.2765,0.455,0.59
1.1045,0.535,0.25,0.287,0.48,0.62
1.254,0.591,0.259,0.3485,0.485,0.625
1.286,0.526,0.295,0.4105,0.51,0.635
1.1665,0.4935,0.3155,0.299,0.49,0.645
1.144,0.5015,0.289,0.319,0.49,0.645
1.385,0.8875,0.3095,0.405,0.525,0.65
1.309,0.524,0.346,0.385,0.515,0.655
1.527,0.8485,0.2635,0.331,0.515,0.655
1.719,0.8465,0.407,0.3875,0.565,0.72
1.52,0.637,0.325,0.435,0.55,0.72
1.613,0.723,0.3255,0.4945,0.565,0.72
0.4085,0.165,0.102,0.131,0.35,0.465
0.8725,0.417,0.199,0.24,0.445,0.535
0.745,0.347,0.174,0.2265,0.435,0.55
0.8765,0.455,0.18,0.228,0.425,0.575
0.9705,0.4615,0.232,0.248,0.45,0.58
0.92,0.393,0.212,0.2895,0.45,0.58
0.7855,0.363,0.1955,0.195,0.44,0.58
1.056,0.4575,0.2435,0.3135,0.48,0.6
0.9625,0.4375,0.2225,0.2775,0.45,0.6
1.0915,0.4365,0.2715,0.335,0.495,0.605
1.2735,0.469,0.3315,0.398,0.47,0.61
1.194,0.559,0.259,0.3165,0.475,0.615
1.1215,0.545,0.2305,0.29,0.515,0.615
1.198,0.5415,0.2865,0.3185,0.495,0.615
0.9545,0.455,0.1865,0.277,0.475,0.62
1.217,0.5725,0.207,0.355,0.5,0.625
0.92,0.437,0.1735,0.28,0.49,0.625
1.2615,0.5505,0.277,0.3885,0.48,0.63
1.167,0.548,0.2485,0.34,0.485,0.63
1.3765,0.634,0.2885,0.406,0.485,0.635
1.29,0.593,0.3045,0.352,0.5,0.635
1.151,0.5935,0.2315,0.293,0.485,0.645
1.197,0.526,0.2925,0.317,0.52,0.645
1.6645,0.753,0.367,0.43,0.565,0.65
1.528,0.6215,0.3725,0.4535,0.5,0.655
1.494,0.7255,0.309,0.405,0.515,0.655
1.277,0.4975,0.319,0.394,0.525,0.66
1.5965,0.7765,0.397,0.3605,0.525,0.66
1.3805,0.675,0.2985,0.325,0.51,0.665
1.527,0.5755,0.353,0.44,0.525,0.67
1.3435,0.657,0.297,0.355,0.505,0.68
0.693,0.391,0.1195,0.1515,0.38,0.505
1.183,0.508,0.292,0.343,0.37,0.51
0.7905,0.4065,0.198,0.177,0.41,0.525
1.224,0.618,0.275,0.2875,0.4,0.535
1.007,0.4775,0.2105,0.2925,0.44,0.59
1.5245,0.653,0.396,0.41,0.43,0.595
1.148,0.5475,0.22,0.3315,0.5,0.62
1.136,0.5265,0.1915,0.2925,0.49,0.625
1.2235,0.532,0.271,0.354,0.51,0.635
1.3695,0.634,0.318,0.363,0.525,0.635
1.2905,0.6205,0.2965,0.326,0.505,0.655
1.4265,0.6605,0.3395,0.37,0.515,0.67
2.2635,0.821,0.423,0.726,0.615,0.75
0.871,0.385,0.211,0.2315,0.47,0.57
0.8785,0.425,0.1685,0.2425,0.435,0.58
0.921,0.4005,0.2025,0.2875,0.46,0.595
0.869,0.3425,0.195,0.291,0.45,0.6
1.089,0.469,0.198,0.384,0.495,0.61
1.1635,0.4875,0.259,0.355,0.515,0.625
1.251,0.577,0.227,0.3825,0.505,0.635
1.145,0.4775,0.3035,0.3155,0.49,0.635
1.1335,0.5525,0.2505,0.3015,0.485,0.64
1.2015,0.559,0.231,0.3355,0.5,0.64
1.204,0.5455,0.2615,0.3225,0.49,0.655
1.2895,0.587,0.3165,0.3415,0.455,0.655
1.5175,0.7765,0.302,0.401,0.53,0.66
1.494,0.615,0.3935,0.406,0.52,0.68
1.664,0.58,0.3855,0.545,0.56,0.68
1.5855,0.667,0.334,0.471,0.535,0.695
1.666,0.647,0.4285,0.455,0.555,0.7
1.908,0.5415,0.3565,0.5965,0.55,0.73
2.073,1.0135,0.4655,0.48,0.575,0.755
0.728,0.302,0.1575,0.235,0.43,0.52
0.5685,0.249,0.1375,0.161,0.395,0.53
0.655,0.2635,0.122,0.221,0.43,0.55
0.4705,0.1635,0.089,0.1385,0.36,0.47
0.714,0.318,0.138,0.208,0.4,0.525
0.6995,0.3115,0.131,0.223,0.4,0.525
0.952,0.4895,0.1945,0.2185,0.425,0.55
0.8285,0.362,0.1655,0.236,0.45,0.575
1.1945,0.5105,0.271,0.352,0.485,0.62
1.1655,0.536,0.2115,0.1625,0.495,0.63
1.2155,0.4625,0.2045,0.3105,0.49,0.63
1.5105,0.7385,0.3525,0.3725,0.53,0.685
0.5565,0.2215,0.1155,0.185,0.39,0.485
1.3235,0.6075,0.3055,0.355,0.48,0.625
1.2785,0.5345,0.2995,0.345,0.5,0.645
1.8745,0.6755,0.4065,0.6855,0.53,0.71
1.978,0.6675,0.3125,0.71,0.54,0.7
1.367,0.5835,0.3515,0.396,0.505,0.655
1.742,0.595,0.3025,0.725,0.5,0.665
0.513,0.232,0.142,0.13,0.375,0.47
0.397,0.1575,0.089,0.12,0.35,0.43
0.204,0.097,0.021,0.05,0.255,0.34
0.17,0.076,0.0365,0.05,0.22,0.335
0.765,0.33,0.2125,0.245,0.44,0.55
1.151,0.4365,0.281,0.3805,0.475,0.64
0.6765,0.29,0.158,0.22,0.41,0.545
1.571,0.627,0.271,0.475,0.54,0.64
0.872,0.3245,0.239,0.285,0.465,0.57
0.606,0.239,0.1235,0.18,0.405,0.505
0.539,0.229,0.1355,0.165,0.38,0.49
0.657,0.291,0.133,0.195,0.41,0.505
0.2685,0.1165,0.056,0.0835,0.295,0.37
1.707,0.6995,0.387,0.575,0.545,0.67
0.8805,0.3645,0.234,0.235,0.415,0.59
0.4965,0.237,0.127,0.13,0.36,0.47
0.632,0.282,0.145,0.17,0.385,0.51
0.72,0.3105,0.1915,0.2,0.405,0.525
1.017,0.426,0.2255,0.32,0.47,0.61
0.98,0.2585,0.207,0.38,0.405,0.545
0.578,0.2395,0.1255,0.18,0.38,0.49
0.6835,0.271,0.145,0.215,0.405,0.505
0.2725,0.1115,0.057,0.08,0.3,0.385
1.511,0.5095,0.284,0.51,0.485,0.62
1.3035,0.501,0.295,0.41,0.505,0.635
1.3955,0.456,0.3205,0.49,0.53,0.665
1.1345,0.4535,0.27,0.335,0.48,0.6
1.0835,0.3745,0.326,0.325,0.46,0.585
0.868,0.33,0.243,0.21,0.42,0.555
1.0915,0.452,0.275,0.315,0.495,0.57
1.271,0.531,0.3075,0.37,0.485,0.62
1.2355,0.4435,0.3105,0.365,0.505,0.64
0.4135,0.1645,0.106,0.119,0.32,0.42
0.56,0.231,0.137,0.145,0.35,0.45
1.2765,0.4835,0.328,0.4,0.505,0.64
1.2955,0.5215,0.3225,0.365,0.48,0.61
1.2315,0.4525,0.238,0.42,0.485,0.59
1.5715,0.6935,0.318,0.47,0.54,0.69
1.092,0.396,0.2825,0.37,0.51,0.655
1.8165,0.7785,0.4395,0.515,0.555,0.69
1.6365,0.694,0.3005,0.44,0.55,0.695
1.213,0.464,0.306,0.365,0.495,0.61
0.459,0.197,0.1145,0.145,0.35,0.435
0.4195,0.194,0.1005,0.13,0.35,0.435
0.8745,0.375,0.193,0.29,0.48,0.575
0.8775,0.3345,0.2145,0.29,0.435,0.56
1.3105,0.58,0.288,0.37,0.52,0.645
1.2515,0.5035,0.2925,0.33,0.485,0.595
1.1705,0.5405,0.3175,0.285,0.5,0.655
0.6625,0.3005,0.1635,0.185,0.385,0.495
0.4335,0.2105,0.1205,0.12,0.335,0.4
1.107,0.402,0.2415,0.31,0.465,0.595
0.8595,0.3195,0.1775,0.24,0.475,0.625
0.501,0.192,0.1175,0.175,0.375,0.475
0.6735,0.265,0.124,0.25,0.405,0.5
0.5555,0.213,0.1075,0.215,0.39,0.465
1.428,0.493,0.318,0.565,0.53,0.655
1.0385,0.414,0.26,0.305,0.475,0.58
0.9715,0.371,0.235,0.28,0.475,0.59
1.522,0.6965,0.3025,0.405,0.57,0.665
1.1255,0.4985,0.227,0.315,0.51,0.62
1.0185,0.4695,0.225,0.27,0.475,0.605
0.6175,0.262,0.122,0.193,0.395,0.51
0.597,0.2615,0.135,0.178,0.375,0.495
1.22,0.4905,0.3,0.345,0.5,0.63
1.0735,0.437,0.205,0.33,0.485,0.605
1.146,0.477,0.23,0.39,0.5,0.62
1.1055,0.4445,0.227,0.39,0.5,0.615
1.67,0.6525,0.4875,0.49,0.525,0.66
1.555,0.6465,0.3705,0.52,0.575,0.71
0.9285,0.302,0.1805,0.265,0.45,0.565
0.8085,0.3235,0.183,0.22,0.435,0.57
0.438,0.1805,0.1165,0.11,0.325,0.45
1.166,0.483,0.238,0.355,0.485,0.62
0.507,0.1915,0.1365,0.155,0.38,0.48
0.6345,0.243,0.1335,0.215,0.41,0.505
1.4685,0.4715,0.3235,0.52,0.555,0.705
0.7765,0.302,0.1565,0.25,0.425,0.535
0.5885,0.2475,0.1505,0.1595,0.37,0.48
0.3375,0.1435,0.0755,0.098,0.3,0.395
0.6855,0.2905,0.145,0.225,0.435,0.545
0.314,0.146,0.0555,0.08,0.305,0.385
0.7005,0.312,0.165,0.2,0.34,0.51
0.382,0.1465,0.079,0.14,0.325,0.425
0.4435,0.185,0.09,0.145,0.35,0.45
1.71,0.5415,0.309,0.58,0.525,0.685
0.8575,0.3465,0.1785,0.275,0.475,0.585
0.59,0.215,0.125,0.1845,0.39,0.49
0.385,0.166,0.046,0.1345,0.365,0.455
0.59,0.232,0.141,0.23,0.38,0.48
0.584,0.224,0.1355,0.185,0.38,0.51
0.829,0.3535,0.1685,0.205,0.405,0.52
0.4385,0.206,0.098,0.125,0.36,0.455
1.073,0.4005,0.2345,0.335,0.44,0.58
0.588,0.237,0.1715,0.155,0.375,0.475
0.5325,0.2085,0.1805,0.125,0.33,0.46
0.1485,0.0585,0.0335,0.045,0.225,0.305
0.487,0.194,0.1455,0.125,0.35,0.475
1.2225,0.357,0.202,0.385,0.45,0.605
0.559,0.1955,0.1215,0.1945,0.375,0.475
0.44,0.19,0.1025,0.13,0.35,0.46
0.5265,0.249,0.1005,0.148,0.37,0.49
1.0315,0.432,0.2025,0.337,0.465,0.56
1.2495,0.4945,0.27,0.371,0.48,0.58
1.148,0.444,0.214,0.37,0.475,0.595
